"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.101502090E-1,-3.143902063E0,-1.329410791E0,8.418003917E-1
2.126753130E-1,-3.059748650E0,-1.129147053E0,8.449960947E-1
2.152004690E-1,-2.984117270E0,-9.842753410E-1,8.503222466E-1
2.177255730E-1,-2.919270992E0,-8.830781579E-1,8.513875008E-1
2.202507300E-1,-2.867074728E0,-8.244903684E-1,8.567136526E-1
2.227758340E-1,-2.817008734E0,-7.990579009E-1,8.599093556E-1
2.253009900E-1,-2.768007994E0,-7.979927063E-1,8.620398045E-1
2.278260940E-1,-2.725398779E0,-8.171668649E-1,8.631050587E-1
2.303512500E-1,-2.680658817E0,-8.575125933E-1,8.663007617E-1
2.328763550E-1,-2.636984348E0,-9.203613400E-1,8.663007617E-1
2.354014590E-1,-2.591179371E0,-1.000253797E0,8.684312105E-1
2.379266150E-1,-2.554961443E0,-1.100385666E0,8.737573624E-1
2.404517190E-1,-2.526200056E0,-1.219691753E0,8.758878708E-1
2.429768750E-1,-2.496373653E0,-1.333671689E0,8.790835738E-1
2.455019800E-1,-2.467612267E0,-1.409303308E0,8.865401745E-1
2.480271360E-1,-2.436720610E0,-1.442192316E0,8.961272836E-1
2.505522400E-1,-2.403698206E0,-1.456040382E0,9.089100957E-1
2.530773960E-1,-2.371741295E0,-1.458170891E0,9.227581024E-1
2.556025000E-1,-2.345243692E0,-1.443257570E0,9.366061091E-1
2.581276050E-1,-2.310091019E0,-1.408238053E0,9.515193701E-1
2.606527610E-1,-2.274938345E0,-1.350715518E0,9.643021822E-1
2.631778650E-1,-2.233394146E0,-1.291062474E0,9.760197401E-1
2.657029690E-1,-2.190784931E0,-1.243126988E0,9.930635095E-1
2.682281250E-1,-2.139653683E0,-1.182408690E0,1.013169765E0
2.707532300E-1,-2.082131147E0,-1.116364241E0,1.030213475E0
2.732783860E-1,-2.029934645E0,-1.051385045E0,1.055779099E0
2.758034900E-1,-1.969216347E0,-9.853405356E-1,1.080279469E0
2.783286460E-1,-1.905302405E0,-9.267527461E-1,1.097323179E0
2.808537500E-1,-1.843518853E0,-8.756215572E-1,1.114366889E0
2.833788550E-1,-1.785996318E0,-8.203625679E-1,1.120758295E0
2.859040110E-1,-1.728606939E0,-7.702966332E-1,1.121823549E0
2.884291670E-1,-1.674280047E0,-7.191654444E-1,1.114366889E0
2.909542710E-1,-1.622083545E0,-6.637732983E-1,1.106910229E0
2.934794270E-1,-1.568821907E0,-6.073159575E-1,1.095192671E0
2.960045320E-1,-1.516625524E0,-5.519238710E-1,1.077083707E0
2.985296360E-1,-1.464429140E0,-4.954665005E-1,1.058974743E0
3.010547920E-1,-1.411167502E0,-4.358134568E-1,1.041931033E0
3.035798960E-1,-1.355775356E0,-3.868127465E-1,1.017430663E0
3.061050520E-1,-1.303578854E0,-3.367467821E-1,9.898678064E-1
3.086301570E-1,-1.251382470E0,-2.856155932E-1,9.611064792E-1
3.111552610E-1,-1.199186087E0,-2.515281439E-1,9.291495085E-1
3.136804170E-1,-1.143793941E0,-2.227668613E-1,8.950620294E-1
3.162055210E-1,-1.086404562E0,-2.037258148E-1,8.588441014E-1
3.187306770E-1,-1.028881907E0,-1.930734813E-1,8.247566819E-1
3.212557820E-1,-9.756202698E-1,-1.898777932E-1,7.906692028E-1
3.237808860E-1,-9.180977345E-1,-1.941387206E-1,7.555165291E-1
3.263060420E-1,-8.616403341E-1,-1.962691844E-1,7.214290500E-1
3.288311460E-1,-8.083786964E-1,-1.962691844E-1,6.873416305E-1
3.313563020E-1,-7.487256527E-1,-1.898777932E-1,6.543194056E-1
3.338814070E-1,-6.943987608E-1,-1.749645174E-1,6.127753258E-1
3.364065630E-1,-6.379414201E-1,-1.536598653E-1,5.754921436E-1
3.389316670E-1,-5.793536305E-1,-1.185071766E-1,5.446003675E-1
3.414567710E-1,-5.251598954E-1,-6.844121963E-2,5.062519908E-1
3.439819270E-1,-4.665720761E-1,-9.853405878E-3,4.742949903E-1
3.465070840E-1,-4.122451842E-1,5.193011090E-2,4.497946501E-1
3.491485420E-1,-3.589835167E-1,1.126483902E-1,4.220985770E-1
3.516736460E-1,-3.089175820E-1,1.691057384E-1,3.945356905E-1
3.541988020E-1,-2.588516176E-1,2.213021666E-1,3.689700961E-1
3.567239070E-1,-2.130466104E-1,2.713681161E-1,3.402087986E-1
3.592490630E-1,-1.640458852E-1,3.193036020E-1,3.157084286E-1
3.617741670E-1,-1.193061024E-1,3.608476818E-1,2.912080884E-1
3.642993230E-1,-7.669677585E-2,3.938699067E-1,2.635120153E-1
3.668244270E-1,-3.089175746E-2,4.363460839E-1,2.411421239E-1
3.693495320E-1,1.278279629E-2,4.693683088E-1,2.187722325E-1
3.718746880E-1,5.858781561E-2,5.045210123E-1,1.932066381E-1
3.744385940E-1,1.085206121E-1,5.396736860E-1,1.676410437E-1
3.769248960E-1,1.575213373E-1,5.748263597E-1,1.399449855E-1
3.794500520E-1,2.022611201E-1,6.121095419E-1,1.111836955E-1
3.819751570E-1,2.480661422E-1,6.525883675E-1,7.709623873E-2
3.845003130E-1,2.928059399E-1,6.856105924E-1,3.768261895E-2
3.870254170E-1,3.396761715E-1,7.218285203E-1,-2.796236658E-3
3.895505730E-1,3.854812086E-1,7.537854910E-1,-4.647079110E-2
3.920756770E-1,4.355471432E-1,7.836120725E-1,-9.440627694E-2
3.946008340E-1,4.877435565E-1,7.995905280E-1,-1.391460598E-1
3.971259380E-1,5.356790423E-1,8.123733401E-1,-1.881467849E-1
3.996510940E-1,5.846797824E-1,8.240908980E-1,-2.338186502E-1
4.021761980E-1,6.358109713E-1,8.294170499E-1,-2.828193605E-1
4.047013020E-1,6.762897968E-1,8.240908980E-1,-3.339505494E-1
4.072264590E-1,7.166355252E-1,8.134385943E-1,-3.850817382E-1
4.097515630E-1,7.507229447E-1,8.070471883E-1,-4.383433759E-1
4.122767190E-1,7.773538232E-1,7.963948250E-1,-4.937354922E-1
4.148018230E-1,8.061150908E-1,7.889382243E-1,-5.491276383E-1
4.173269800E-1,8.316806555E-1,7.772206664E-1,-6.055849791E-1
4.198520840E-1,8.529853225E-1,7.601768970E-1,-6.631075740E-1
4.223771880E-1,8.785509467E-1,7.388722301E-1,-7.216953635E-1
4.249023440E-1,9.019860625E-1,7.218285203E-1,-7.717612982E-1
4.274274480E-1,9.286168814E-1,6.983934045E-1,-8.248898387E-1
4.299526050E-1,9.584434032E-1,6.738930345E-1,-8.738905191E-1
4.325165110E-1,9.872047305E-1,6.408708096E-1,-9.186303020E-1
4.350028130E-1,1.012770295E0,6.046528816E-1,-9.633701444E-1
4.375279690E-1,1.038335919E0,5.673697591E-1,-1.003849030E0
4.400919270E-1,1.059640527E0,5.268908739E-1,-1.040066838E0
4.425782300E-1,1.070292830E0,4.917382002E-1,-1.077350020E0
4.451033340E-1,1.070292830E0,4.661726058E-1,-1.107176542E0
4.476284900E-1,1.055379629E0,4.619116783E-1,-1.128481269E0
4.501535940E-1,1.015965939E0,4.800206423E-1,-1.146590233E0
4.527175520E-1,9.499215484E-1,5.194342732E-1,-1.157242537E0
4.552038550E-1,8.423330188E-1,5.929353237E-1,-1.157242537E0
4.577289590E-1,6.900047064E-1,7.005238533E-1,-1.144459724E0
4.602541150E-1,4.877435565E-1,8.390041590E-1,-1.115698457E0
4.628180210E-1,2.427399755E-1,9.817453623E-1,-1.067762971E0
4.653043750E-1,-1.491326280E-2,1.132875323E0,-1.007044673E0
4.678294800E-1,-2.503297627E-1,1.247920513E0,-9.346088171E-1
4.703546360E-1,-4.090494812E-1,1.280942678E0,-8.451292515E-1
4.729185420E-1,-4.537892640E-1,1.223420143E0,-7.451304793E-1
4.754048960E-1,-3.696358502E-1,1.061504722E0,-6.364767551E-1
4.779300000E-1,-1.768286824E-1,8.070471883E-1,-5.448666811E-1
4.804551570E-1,8.828118443E-2,4.821510911E-1,-4.777570069E-1
4.829802610E-1,3.641765416E-1,1.051917598E-1,-4.500609636E-1
4.855053650E-1,5.921363831E-1,-2.845503688E-1,-4.532566369E-1
4.880305210E-1,7.549839020E-1,-6.147726178E-1,-4.756265581E-1
4.905556250E-1,8.348763585E-1,-8.223599195E-1,-5.022573471E-1
4.930807820E-1,8.412677646E-1,-8.905348182E-1,-5.246272683E-1
4.956058860E-1,8.114412427E-1,-8.447297812E-1,-5.619103909E-1
4.981310420E-1,7.784190178E-1,-7.298177481E-1,-6.173025370E-1
5.006561460E-1,7.698971629E-1,-5.860112906E-1,-6.812165380E-1
5.031812500E-1,7.869408727E-1,-4.219654202E-1,-7.419347763E-1
5.057064070E-1,8.210283518E-1,-2.430062890E-1,-8.026530743E-1
5.082315110E-1,8.551158309E-1,-5.246272683E-2,-8.579120636E-1
5.107566670E-1,8.753552437E-1,1.350182891E-1,-9.069127440E-1
5.132817710E-1,8.923989534E-1,2.937380075E-1,-9.410002232E-1
5.158068750E-1,9.350082874E-1,3.990629315E-1,-9.644353390E-1
5.183320320E-1,1.010639787E0,4.544550478E-1,-9.772181511E-1
5.208571360E-1,1.127815485E0,4.661726058E-1,-9.772181511E-1
5.233822920E-1,1.275882840E0,4.512593448E-1,-9.697614908E-1
5.259074480E-1,1.444056511E0,4.267589748E-1,-9.655005932E-1
5.284325520E-1,1.614493847E0,4.139761925E-1,-9.665657878E-1
5.309576570E-1,1.764691710E0,4.139761925E-1,-9.718919992E-1
5.334828130E-1,1.888258696E0,4.278241992E-1,-9.836095572E-1
5.360079170E-1,1.983996511E0,4.672378302E-1,-1.005979419E0
5.385330730E-1,2.055367231E0,5.300865769E-1,-1.025153637E0
5.410581770E-1,2.101172209E0,6.131747365E-1,-1.042197347E0
5.435833340E-1,2.128868103E0,7.143719196E-1,-1.065632463E0
5.461084380E-1,2.146977186E0,8.251561522E-1,-1.094393730E0
5.486335940E-1,2.158694744E0,9.263532758E-1,-1.129546523E0
5.511586980E-1,2.165086031E0,1.010373473E0,-1.167894840E0
5.536838550E-1,2.162955761E0,1.081744194E0,-1.204112768E0
5.562089590E-1,2.157629490E0,1.131810069E0,-1.232874036E0
5.587341150E-1,2.146977186E0,1.148853779E0,-1.256309152E0
5.612592190E-1,2.127802849E0,1.140331984E0,-1.269091964E0
5.637843230E-1,2.107563496E0,1.105179310E0,-1.271222472E0
5.663094800E-1,2.083063126E0,1.049787164E0,-1.260570168E0
5.688345840E-1,2.048975706E0,9.721583128E-1,-1.239265442E0
5.713597400E-1,2.011692524E0,8.880048990E-1,-1.212634683E0
5.739236980E-1,1.978670359E0,7.995905280E-1,-1.182808161E0
5.764100000E-1,1.944582939E0,7.037195563E-1,-1.146590233E0
5.789351050E-1,1.915821552E0,6.163704395E-1,-1.110372305E0
5.814602610E-1,1.893584847E0,5.279561281E-1,-1.069893360E0
5.839853650E-1,1.880802035E0,4.342156053E-1,-1.021957874E0
5.865105210E-1,1.866953969E0,3.416734934E-1,-9.750877023E-1
5.890356250E-1,1.852040768E0,2.553896308E-1,-9.260869622E-1
5.915607820E-1,1.831801295E0,1.872147024E-1,-8.802819252E-1
5.940858860E-1,1.807300925E0,1.350182891E-1,-8.376725912E-1
5.966498440E-1,1.775344014E0,1.073222235E-1,-7.983921766E-1
5.991323440E-1,1.739126086E0,1.030612960E-1,-7.643046975E-1
6.016493230E-1,1.705038667E0,1.094526947E-1,-7.398043275E-1
6.041663020E-1,1.672016382E0,1.233007237E-1,-7.216953635E-1
6.066832820E-1,1.645385504E0,1.424749196E-1,-7.067821026E-1
6.092002610E-1,1.619819999E0,1.680405140E-1,-6.961297989E-1
6.117172400E-1,1.607037187E0,1.968017966E-1,-6.908035874E-1
6.142342190E-1,1.598515272E0,2.287587970E-1,-6.950645447E-1
6.167511980E-1,1.603841424E0,2.639114857E-1,-6.961297989E-1
6.192681770E-1,1.617689490E0,3.054555655E-1,-7.003906965E-1
6.217851570E-1,1.637928963E0,3.491301239E-1,-7.078473568E-1
6.243021360E-1,1.667755485E0,3.917394578E-1,-7.110430598E-1
6.268191150E-1,1.700777650E0,4.416722357E-1,-7.131735086E-1
6.294339070E-1,1.735930324E0,4.906729758E-1,-7.174344659E-1
6.319508860E-1,1.777474403E0,5.428693891E-1,-7.184996605E-1
6.344678650E-1,1.814757586E0,5.971962810E-1,-7.184996605E-1
6.369848440E-1,1.857366920E0,6.536536217E-1,-7.227606177E-1
6.395018230E-1,1.895715356E0,7.111762166E-1,-7.195649147E-1
6.420188020E-1,1.932865381E0,7.655031085E-1,-7.163692117E-1
6.445357820E-1,1.963757038E0,8.198299408E-1,-7.099778056E-1
6.470527610E-1,1.995714068E0,8.688306808E-1,-7.025212049E-1
6.495697400E-1,2.019149303E0,9.039833546E-1,-6.929340959E-1
6.520867190E-1,2.031931877E0,9.295489788E-1,-6.780208349E-1
6.546036980E-1,2.041519165E0,9.508536458E-1,-6.609770656E-1
6.571206770E-1,2.043649673E0,9.636363983E-1,-6.428681016E-1
6.597354690E-1,2.041519165E0,9.721583128E-1,-6.183677912E-1
6.622524480E-1,2.035127640E0,9.764192104E-1,-5.906717181E-1
6.647694270E-1,2.025540590E0,9.774844646E-1,-5.619103909E-1
6.672864070E-1,2.011692524E0,9.753540158E-1,-5.342143774E-1
6.698033860E-1,1.995714068E0,9.785496593E-1,-5.001268983E-1
6.723203650E-1,1.980800867E0,9.806801677E-1,-4.713656008E-1
6.748373440E-1,1.960561395E0,9.817453623E-1,-4.394086301E-1
6.773543230E-1,1.942452431E0,9.828106165E-1,-4.117125571E-1
6.798713020E-1,1.921147704E0,9.817453623E-1,-3.882774413E-1
6.823882820E-1,1.895715356E0,9.774844646E-1,-3.691032529E-1
6.849052610E-1,1.877606392E0,9.710930586E-1,-3.531247377E-1
6.874222400E-1,1.860562682E0,9.668321013E-1,-3.392767310E-1
6.900370320E-1,1.842453718E0,9.497883916E-1,-3.328853250E-1
6.925540110E-1,1.823279500E0,9.263532758E-1,-3.296896219E-1
6.950709900E-1,1.810496688E0,9.018529058E-1,-3.286243975E-1
6.975879690E-1,1.801974773E0,8.645697236E-1,-3.307548463E-1
7.001049480E-1,1.793452978E0,8.230256438E-1,-3.296896219E-1
7.026219270E-1,1.789191961E0,7.761554122E-1,-3.296896219E-1
7.051389070E-1,1.788126826E0,7.314156294E-1,-3.286243975E-1
7.076558860E-1,1.787061572E0,6.866758466E-1,-3.318201005E-1
7.101728650E-1,1.789191961E0,6.472622156E-1,-3.318201005E-1
7.126898440E-1,1.793452978E0,6.099790335E-1,-3.264939189E-1
7.152068230E-1,1.795583367E0,5.780220628E-1,-3.211677670E-1
7.177238020E-1,1.804105282E0,5.492607951E-1,-3.115806580E-1
7.203385940E-1,1.814757586E0,5.268908739E-1,-3.009283245E-1
7.228555730E-1,1.824344754E0,5.087819099E-1,-2.860150635E-1
7.253725520E-1,1.833931804E0,4.906729758E-1,-2.700365782E-1
7.278895320E-1,1.839257956E0,4.768249393E-1,-2.561885417E-1
7.304065110E-1,1.844584107E0,4.640421271E-1,-2.444709837E-1
7.329234900E-1,1.858432174E0,4.555202723E-1,-2.306229472E-1
7.354404690E-1,1.864823580E0,4.491288662E-1,-2.221010923E-1
7.379574480E-1,1.869084477E0,4.459331632E-1,-2.157096863E-1
7.404744270E-1,1.869084477E0,4.544550478E-1,-2.135792226E-1
7.429914070E-1,1.864823580E0,4.640421271E-1,-2.094514370E-1
7.455083860E-1,1.863758326E0,4.693683088E-1,-2.126471400E-1
7.480253650E-1,1.858432174E0,4.651073813E-1,-2.189053893E-1
7.506401570E-1,1.846714616E0,4.544550478E-1,-2.263620198E-1
7.531571360E-1,1.832866549E0,4.416722357E-1,-2.348838747E-1
7.556741150E-1,1.815822840E0,4.310199022E-1,-2.466014475E-1
7.581910940E-1,1.794518232E0,4.235632718E-1,-2.529928386E-1
7.607080730E-1,1.771082997E0,4.235632718E-1,-2.561885417E-1
7.632250520E-1,1.747647882E0,4.203675687E-1,-2.593842447E-1
7.657420320E-1,1.718886614E0,4.193023443E-1,-2.561885417E-1
7.682590110E-1,1.692255855E0,4.214328229E-1,-2.551233172E-1
7.707759900E-1,1.665624976E0,4.182371199E-1,-2.497971505E-1
7.732929690E-1,1.638994217E0,4.161066413E-1,-2.423405200E-1
7.758099480E-1,1.615558982E0,4.097152650E-1,-2.359491140E-1
7.783269270E-1,1.596384883E0,3.979976773E-1,-2.338186502E-1
7.809417190E-1,1.579341054E0,3.832175732E-1,-2.284924835E-1
7.834586980E-1,1.565493107E0,3.619129062E-1,-2.252967805E-1
7.859756770E-1,1.553775549E0,3.374125659E-1,-2.221010923E-1
7.884926570E-1,1.543123245E0,3.086512685E-1,-2.210358530E-1
7.910096360E-1,1.536731839E0,2.788247466E-1,-2.221010923E-1
7.935266150E-1,1.532470822E0,2.404763550E-1,-2.210358530E-1
7.960435940E-1,1.533536077E0,2.053236663E-1,-2.242315561E-1
7.985605730E-1,1.536731839E0,1.754971445E-1,-2.284924835E-1
8.010775520E-1,1.537796974E0,1.520620137E-1,-2.274272442E-1
8.035945320E-1,1.534601331E0,1.392792165E-1,-2.295577228E-1
8.061115110E-1,1.527144670E0,1.264964193E-1,-2.306229472E-1
8.086284900E-1,1.523949027E0,1.169093251E-1,-2.306229472E-1
8.112433340E-1,1.515427113E0,1.073222235E-1,-2.284924835E-1
8.137603130E-1,1.502644300E0,9.880036116E-2,-2.316881865E-1
8.162772920E-1,1.494122505E0,8.601756394E-2,-2.306229472E-1
8.187942710E-1,1.482404947E0,7.003907114E-2,-2.380795777E-1
8.213112500E-1,1.468556881E0,5.086487532E-2,-2.455362082E-1
8.238282300E-1,1.454708815E0,2.210358530E-2,-2.476666719E-1
8.263452090E-1,1.438730359E0,-7.722939365E-3,-2.497971505E-1
8.288621880E-1,1.424882293E0,-3.967992961E-2,-2.508623898E-1
8.313791670E-1,1.407838583E0,-7.909355313E-2,-2.497971505E-1
8.338961460E-1,1.391860127E0,-1.163767055E-1,-2.519276142E-1
8.364131250E-1,1.373751163E0,-1.515294015E-1,-2.455362082E-1
8.389301050E-1,1.351381302E0,-1.866820902E-1,-2.359491140E-1
8.415448960E-1,1.327946067E0,-2.195711583E-1,-2.263620198E-1
8.440618750E-1,1.305576205E0,-2.472672164E-1,-2.189053893E-1
8.465788550E-1,1.276948094E0,-2.696371078E-1,-2.083862126E-1
8.490958340E-1,1.249252081E0,-2.909417748E-1,-1.924077123E-1
8.516128130E-1,1.223686457E0,-3.047898114E-1,-1.742987484E-1
8.541297920E-1,1.195990324E0,-3.154421151E-1,-1.604507267E-1
8.566467710E-1,1.170424819E0,-3.218335211E-1,-1.412765235E-1
8.591637500E-1,1.141663551E0,-3.271597028E-1,-1.210371032E-1
8.616807300E-1,1.108641267E0,-3.399424851E-1,-9.760197252E-2
8.641977090E-1,1.076684237E0,-3.484643400E-1,-7.629731297E-2
8.667146880E-1,1.048988223E0,-3.537905216E-1,-4.966649041E-2
8.692316670E-1,1.011705041E0,-3.644428551E-1,-1.877473295E-2
8.718465110E-1,9.765523672E-1,-3.793561161E-1,5.725627299E-3
8.743634900E-1,9.467258453E-1,-4.027912319E-1,3.022598661E-2
8.768804690E-1,9.137036204E-1,-4.304873049E-1,5.579157919E-2
8.793974480E-1,8.774856925E-1,-4.645747542E-1,8.135717362E-2
8.819144270E-1,8.455287218E-1,-4.997274280E-1,1.026618332E-1
8.844314070E-1,8.071803451E-1,-5.370106101E-1,1.218360290E-1
8.869483860E-1,7.709624171E-1,-5.700328350E-1,1.356840581E-1
8.894653650E-1,7.347444892E-1,-6.019898057E-1,1.484668553E-1
8.919823440E-1,6.985265613E-1,-6.254249215E-1,1.537930220E-1
8.944993230E-1,6.730940938E-1,-6.339467764E-1,1.569887102E-1
8.970163020E-1,6.475285292E-1,-6.286206245E-1,1.601844132E-1
8.995332820E-1,6.230281591E-1,-6.051855087E-1,1.548582464E-1
9.021480730E-1,5.995930433E-1,-5.625761747E-1,1.505973190E-1
9.046650520E-1,5.857450366E-1,-4.997274280E-1,1.484668553E-1
9.071820320E-1,5.750926733E-1,-4.209001958E-1,1.399449855E-1
9.096990110E-1,5.718969703E-1,-3.346163332E-1,1.335535944E-1
9.122159900E-1,5.750926733E-1,-2.430062890E-1,1.282274276E-1
9.147329690E-1,5.836145282E-1,-1.515294015E-1,1.218360290E-1
9.172499480E-1,5.953320861E-1,-5.991935730E-2,1.175750941E-1
9.197669270E-1,6.113106012E-1,2.742975019E-2,1.154446304E-1
9.222839070E-1,6.294195652E-1,1.073222235E-1,1.090532318E-1
9.248008860E-1,6.453980803E-1,1.754971445E-1,1.101184636E-1
9.273178650E-1,6.624417901E-1,2.340849638E-1,1.143793985E-1
9.298348440E-1,6.762897968E-1,2.788247466E-1,1.229012609E-1
9.324890110E-1,6.857437491E-1,3.118469715E-1,1.314231306E-1
9.350059900E-1,6.942656040E-1,3.310211599E-1,1.442059278E-1
9.375229690E-1,7.038527131E-1,3.320863843E-1,1.569887102E-1
9.400399480E-1,7.113093734E-1,3.256950080E-1,1.729672104E-1
9.425569270E-1,7.091788650E-1,3.107817471E-1,1.910761744E-1
9.450739070E-1,7.145050764E-1,2.916075289E-1,2.102503628E-1
9.475908860E-1,7.134398222E-1,2.724333405E-1,2.219679356E-1
9.501078650E-1,7.102441192E-1,2.500634491E-1,2.368811965E-1
9.526248440E-1,7.091788650E-1,2.266283184E-1,2.454030514E-1
9.551418230E-1,7.059831619E-1,2.138455361E-1,2.507292330E-1
9.576588020E-1,7.059831619E-1,2.106498331E-1,2.528596818E-1
9.601757820E-1,7.113093734E-1,2.213021666E-1,2.507292330E-1
9.627512500E-1,7.155702710E-1,2.415415943E-1,2.464682907E-1
9.652682300E-1,7.251573801E-1,2.734985650E-1,2.379464209E-1
9.677852090E-1,7.400706410E-1,3.171731234E-1,2.315550297E-1
9.703021880E-1,7.592448592E-1,3.672390878E-1,2.166417688E-1
9.728191670E-1,7.858756781E-1,4.224980474E-1,1.964023411E-1
9.753361460E-1,8.157021999E-1,4.810858667E-1,1.793586165E-1
9.778531250E-1,8.508548737E-1,5.343475342E-1,1.612496525E-1
9.803701050E-1,8.881380558E-1,5.822830200E-1,1.388797611E-1
9.828870840E-1,9.275516272E-1,6.206313968E-1,1.154446304E-1
9.854040630E-1,9.690957665E-1,6.430012584E-1,9.520520270E-2
9.879210420E-1,1.010639787E0,6.557840705E-1,7.603100687E-2
9.904380210E-1,1.050053477E0,6.483274698E-1,5.685681105E-2
9.930528650E-1,1.085206151E0,6.259575486E-1,3.555215150E-2
9.955698440E-1,1.116097927E0,5.812177658E-1,1.424749196E-2
9.980868230E-1,1.142728686E0,5.173037648E-1,-9.187635034E-3
1.000603802E0,1.170424819E0,4.363460839E-1,-2.410089783E-2
1.003120782E0,1.188533783E0,3.384777904E-1,-3.581846133E-2
1.005637761E0,1.203446984E0,2.266283184E-1,-4.220985994E-2
1.008154740E0,1.214099288E0,1.041265279E-1,-4.327509180E-2
1.010671719E0,1.220490694E0,-2.263620123E-2,-4.327509180E-2
1.013188698E0,1.219425559E0,-1.504641622E-1,-3.262276202E-2
1.015705677E0,1.215164542E0,-2.760285139E-1,-2.303566411E-2
1.018222657E0,1.214099288E0,-3.910736740E-1,-1.983996481E-2
1.020739636E0,1.206642747E0,-4.975969791E-1,-1.238333434E-2
1.023354480E0,1.193859935E0,-5.945332050E-1,-6.657706108E-4
1.025871459E0,1.180011868E0,-6.776213646E-1,2.529928461E-3
1.028388438E0,1.159772396E0,-7.436658144E-1,4.660394508E-3
1.030905417E0,1.148054838E0,-7.905360460E-1,3.595161485E-3
1.033422396E0,1.135272145E0,-8.139711618E-1,2.529928461E-3
